Date;SIE;ALVG;VOWG
15-Sep-2023;138.1000;233.4500;109.8000
14-Sep-2023;136.3800;231.5000;108.6400
13-Sep-2023;134.1400;227.3500;109.0600
12-Sep-2023;135.9200;226.8000;109.0000
11-Sep-2023;136.9800;224.7500;108.0600
08-Sep-2023;137.1200;222.2500;107.0600
07-Sep-2023;136.4600;221.2500;105.7600
06-Sep-2023;137.2600;221.2500;107.5000
05-Sep-2023;137.9600;221.9500;108.4800
04-Sep-2023;138.1400;223.3000;108.3000
01-Sep-2023;137.5000;224.2500;108.3200
31-Aug-2023;138.8800;224.3500;113.0400
30-Aug-2023;138.3000;225.1000;113.4200
29-Aug-2023;140.0800;225.5000;113.7200
28-Aug-2023;138.0000;224.7000;112.9200
25-Aug-2023;136.4000;222.1000;112.1000
24-Aug-2023;135.6000;222.4000;112.1800
23-Aug-2023;137.0000;221.7500;113.7400
22-Aug-2023;136.9000;221.1000;114.4200
21-Aug-2023;134.9200;220.8000;114.4000
18-Aug-2023;134.4000;221.1500;114.4600
17-Aug-2023;135.8200;221.9500;114.7000
16-Aug-2023;138.1200;221.7500;115.1000
15-Aug-2023;137.6600;221.2500;115.7400
14-Aug-2023;138.7200;224.3000;116.9000
11-Aug-2023;137.4200;223.2500;117.0000
10-Aug-2023;139.4600;225.0000;117.6800
09-Aug-2023;146.4800;214.5000;116.8800
08-Aug-2023;145.6800;212.6500;116.4200
07-Aug-2023;148.3800;215.0500;118.3200
04-Aug-2023;148.8400;214.0000;118.5800
03-Aug-2023;146.2600;211.5000;118.8400
02-Aug-2023;147.8200;211.7500;119.0600
01-Aug-2023;150.4600;215.9000;120.0000
31-Jul-2023;154.9800;217.4000;120.5600
28-Jul-2023;154.2800;219.3000;121.2800
27-Jul-2023;155.6800;218.8500;120.9600
26-Jul-2023;150.8800;215.8000;123.5000
25-Jul-2023;151.8000;216.1000;125.2800
24-Jul-2023;151.1000;215.2500;125.6000
21-Jul-2023;151.6000;214.6000;124.9200
20-Jul-2023;151.4000;214.3500;124.0600
19-Jul-2023;148.4600;210.6000;123.7600
18-Jul-2023;150.2000;210.8000;122.7200
17-Jul-2023;149.9200;210.2000;122.0600
14-Jul-2023;150.6000;210.3500;123.1600
13-Jul-2023;150.5000;212.1500;123.9000
12-Jul-2023;149.2600;211.1000;123.5600
11-Jul-2023;145.9800;207.8500;122.7400
10-Jul-2023;144.3800;205.8500;122.0400
07-Jul-2023;142.6200;204.0000;122.3600
06-Jul-2023;142.2200;203.2000;121.3600
05-Jul-2023;145.8400;207.5500;123.6200
04-Jul-2023;147.0000;213.2000;123.5200
03-Jul-2023;148.7800;213.7500;123.7800
30-Jun-2023;152.5400;213.2000;122.9400
29-Jun-2023;150.5800;211.0500;122.4200
28-Jun-2023;152.7200;211.6500;121.7200
27-Jun-2023;157.5600;211.3000;120.7000
26-Jun-2023;155.4800;209.2000;122.7400
23-Jun-2023;156.9800;209.1500;122.3600
22-Jun-2023;160.5200;208.4500;123.0000
21-Jun-2023;160.3800;208.9000;125.0200
20-Jun-2023;161.5200;209.2500;126.1000
19-Jun-2023;163.3000;210.0000;127.9800
16-Jun-2023;163.7800;210.3000;129.0200
15-Jun-2023;165.7800;209.8000;130.0800
14-Jun-2023;164.3400;209.7500;131.7400
